2025-09-06 07:49:58,724 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Configure stats pid to 18572
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Acer\.config\wandb\settings
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Acer\Documents\GitHub\aas\wandb\settings
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'final.py', 'program_abspath': 'C:\\Users\\Acer\\Documents\\GitHub\\aas\\final.py', 'program': 'C:\\Users\\Acer\\Documents\\GitHub\\aas\\final.py'}
2025-09-06 07:49:58,725 INFO    MainThread:18572 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\Acer\Documents\GitHub\aas\wandb\run-20250906_074958-2r0y0jh9\logs\debug.log
2025-09-06 07:49:58,726 INFO    MainThread:18572 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\Acer\Documents\GitHub\aas\wandb\run-20250906_074958-2r0y0jh9\logs\debug-internal.log
2025-09-06 07:49:58,726 INFO    MainThread:18572 [wandb_init.py:init():568] calling init triggers
2025-09-06 07:49:58,726 INFO    MainThread:18572 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'env_name': 'starpilot', 'instance_id': 0, 'num_iterations': 1000, 'exp_name': 'baseline'}
2025-09-06 07:49:58,726 INFO    MainThread:18572 [wandb_init.py:init():618] starting backend
2025-09-06 07:49:58,726 INFO    MainThread:18572 [wandb_init.py:init():622] setting up manager
2025-09-06 07:49:58,727 INFO    MainThread:18572 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2025-09-06 07:49:58,733 INFO    MainThread:18572 [wandb_init.py:init():628] backend started and connected
2025-09-06 07:49:58,743 INFO    MainThread:18572 [wandb_init.py:init():720] updated telemetry
2025-09-06 07:49:58,744 INFO    MainThread:18572 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2025-09-06 07:49:59,434 INFO    MainThread:18572 [wandb_run.py:_on_init():2220] communicating current version
2025-09-06 07:49:59,543 INFO    MainThread:18572 [wandb_run.py:_on_init():2229] got version response upgrade_message: "wandb version 0.21.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2025-09-06 07:49:59,543 INFO    MainThread:18572 [wandb_init.py:init():804] starting run threads in backend
2025-09-06 07:50:13,067 INFO    MainThread:18572 [wandb_run.py:_console_start():2199] atexit reg
2025-09-06 07:50:13,067 INFO    MainThread:18572 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2025-09-06 07:50:13,067 INFO    MainThread:18572 [wandb_run.py:_redirect():2119] Wrapping output streams.
2025-09-06 07:50:13,067 INFO    MainThread:18572 [wandb_run.py:_redirect():2144] Redirects installed.
2025-09-06 07:50:13,067 INFO    MainThread:18572 [wandb_init.py:init():845] run started, returning control to user process
2025-09-06 16:42:16,475 INFO    MainThread:18572 [wandb_run.py:_finish():1934] finishing run alessandrablasioli/ppo-procgen-final_correction-500/2r0y0jh9
2025-09-06 16:42:16,492 INFO    MainThread:18572 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2025-09-06 16:42:16,492 INFO    MainThread:18572 [wandb_run.py:_restore():2151] restore
2025-09-06 16:42:16,507 INFO    MainThread:18572 [wandb_run.py:_restore():2157] restore done
2025-09-06 16:42:43,211 INFO    MainThread:18572 [wandb_run.py:_footer_history_summary_info():3599] rendering history
2025-09-06 16:42:43,237 INFO    MainThread:18572 [wandb_run.py:_footer_history_summary_info():3631] rendering summary
2025-09-06 16:42:43,300 INFO    MainThread:18572 [wandb_run.py:_footer_sync_info():3558] logging synced files
